layer,avg_U_similarity_ft,avg_V_similarity_ft,min_U_similarity_ft,max_U_similarity_ft,spectral_intruder_count_ft,layer_id,module,drift_U_ft,drift_V_ft,spectral_drift_ft,model_ft,avg_U_similarity_lora,avg_V_similarity_lora,min_U_similarity_lora,max_U_similarity_lora,spectral_intruder_count_lora,drift_U_lora,drift_V_lora,spectral_drift_lora,model_lora,delta_ft_lora
model.layers.7.self_attn.o_proj.weight,0.7995527654886245,0.7995488315820694,-0.9998376965522766,0.9999892115592957,2,7,o_proj,0.20044723451137547,0.20045116841793065,2.400898402929306,finetuned,1.0000000566244125,1.000000074505806,0.9999998807907104,1.0000003576278689,0,-5.662441249221217e-08,-7.450580596923828e-08,-1.3113021846145045e-07,lora,2.4008985340595244
model.layers.7.mlp.gate_proj.weight,0.9998888820409776,0.9999022275209428,0.9995317459106444,0.9999904036521912,0,7,gate_proj,0.00011111795902241095,9.777247905717878e-05,0.00020889043807958974,finetuned,1.000000062584877,1.0000001609325408,0.9999997615814208,1.000000238418579,0,-6.258487705856908e-08,-1.6093254084914577e-07,-2.2351741790771484e-07,lora,0.00020911395549749745
model.layers.7.mlp.up_proj.weight,0.8986894220113755,0.8987053841352463,-0.9996234178543092,0.9999757409095764,1,7,up_proj,0.10131057798862453,0.10129461586475375,1.2026051938533784,finetuned,1.0000000059604646,1.0000000804662703,0.999999701976776,1.000000238418579,0,-5.9604645663569045e-09,-8.046627031355058e-08,-8.642673487990749e-08,lora,1.2026052802801133
model.layers.7.mlp.down_proj.weight,0.999796986579895,0.9997817784547806,0.9993024468421936,0.9999983906745912,0,7,down_proj,0.00020301342010498047,0.0002182215452194436,0.00042123496532442406,finetuned,1.000000032782555,0.9999998092651368,0.9999998211860656,1.000000238418579,0,-3.278255489291837e-08,1.9073486323684108e-07,1.579523083439227e-07,lora,0.00042107701301608014
model.layers.8.self_attn.q_proj.weight,0.9997539550065996,0.9997558921575548,0.9987128973007202,0.9999990463256836,0,8,q_proj,0.0002460449934004183,0.0002441078424452181,0.0004901528358456364,finetuned,1.0000000536441802,1.0000000715255737,0.9999998211860656,1.000000238418579,0,-5.364418020903372e-08,-7.152557368605983e-08,-1.2516975389509355e-07,lora,0.0004902780055995315
model.layers.8.self_attn.k_proj.weight,0.9990157812833786,0.9990133911371232,0.9911397099494934,0.9999992847442628,0,8,k_proj,0.0009842187166213545,0.0009866088628768255,0.00197082757949818,finetuned,1.000000050663948,1.000000125169754,0.9999998807907104,1.000000238418579,0,-5.066394792585527e-08,-1.2516975389509355e-07,-1.7583370182094882e-07,lora,0.001971003413200001
model.layers.8.self_attn.v_proj.weight,0.8932196795940399,0.8932135850191116,-0.9998601078987122,0.9996013045310974,1,8,v_proj,0.10678032040596008,0.10678641498088837,1.2135667353868484,finetuned,1.000000038743019,0.999999952316284,0.9999998211860656,1.0000001192092896,0,-3.8743019015186064e-08,4.7683715975743723e-08,8.940696960557659e-09,lora,1.2135667264461514
model.layers.8.self_attn.o_proj.weight,0.9995730310678482,0.9995721191167832,0.9984369277954102,0.9999911785125732,0,8,o_proj,0.00042696893215177223,0.0004278808832167691,0.0008548498153685413,finetuned,1.000000110268593,1.0000001311302185,0.9999999403953552,1.0000003576278689,0,-1.102685929232905e-07,-1.3113021846145045e-07,-2.4139881138474095e-07,lora,0.0008550912141799261
model.layers.8.mlp.gate_proj.weight,0.899911767244339,0.8999240666627883,-0.9999520778656006,0.999989926815033,1,8,gate_proj,0.10008823275566103,0.10007593333721165,1.2001641660928728,finetuned,1.000000062584877,1.0000001430511474,0.9999998211860656,1.000000238418579,0,-6.258487705856908e-08,-1.4305114737211966e-07,-2.0563602443068874e-07,lora,1.2001643717288972
model.layers.8.mlp.up_proj.weight,0.9988893181085586,0.9989110887050628,0.9971975088119508,0.9999567270278932,0,8,up_proj,0.0011106818914413674,0.001088911294937156,0.0021995931863785234,finetuned,1.0000000208616258,1.0000000685453414,0.9999997615814208,1.0000003576278689,0,-2.086162576020456e-08,-6.854534140288138e-08,-8.940696716308594e-08,lora,0.0021996825933456865
model.layers.8.mlp.down_proj.weight,0.9967741549015046,0.9967618346214294,0.9685559272766112,0.9999982714653016,0,8,down_proj,0.003225845098495439,0.003238165378570579,0.006464010477066018,finetuned,1.000000038743019,1.000000184774399,0.9999999403953552,1.0000001192092896,0,-3.8743019015186064e-08,-1.8477439889252878e-07,-2.2351741790771484e-07,lora,0.0064642339944839255
model.layers.9.self_attn.q_proj.weight,0.8999526858329773,0.8999553203582764,-0.9990988969802856,0.9999949932098388,1,9,q_proj,0.10004731416702273,0.10004467964172359,1.2000919938087464,finetuned,1.0000000536441802,1.0000000029802325,0.9999998211860656,1.000000238418579,0,-5.364418020903372e-08,-2.980232505223057e-09,-5.662441271425678e-08,lora,1.2000920504331591
model.layers.9.self_attn.k_proj.weight,0.9998415499925614,0.9998373478651048,0.9993218183517456,0.9999915957450868,0,9,k_proj,0.00015845000743863746,0.00016265213489519148,0.00032110214233382894,finetuned,1.0000000715255737,1.0000001430511474,0.9999999403953552,1.000000238418579,0,-7.152557368605983e-08,-1.4305114737211966e-07,-2.145767210581795e-07,lora,0.0003213167190548871
model.layers.9.self_attn.v_proj.weight,0.7968018829822541,0.7967886209487915,-0.9982054233551024,0.9999794363975524,2,9,v_proj,0.20319811701774593,0.20321137905120845,2.4064094960689544,finetuned,1.0000000596046448,1.0000001221895218,0.9999999403953552,1.000000238418579,0,-5.960464477539063e-08,-1.221895218339597e-07,-1.8179416660935033e-07,lora,2.406409677863121
model.layers.9.self_attn.o_proj.weight,0.9997962534427642,0.9997928857803344,0.9990928769111632,0.9999918937683104,0,9,o_proj,0.00020374655723576218,0.00020711421966557175,0.00041086077690133394,finetuned,1.000000011920929,1.000000110268593,0.9999998807907104,1.0000001192092896,0,-1.1920928910669204e-08,-1.102685929232905e-07,-1.221895218339597e-07,lora,0.0004109829664231679
model.layers.9.mlp.gate_proj.weight,0.9999036699533462,0.9999183148145676,0.9997023344039916,0.9999898076057434,0,9,gate_proj,9.633004665376976e-05,8.168518543238967e-05,0.00017801523208615944,finetuned,1.000000011920929,1.0000001579523086,0.9999996423721312,1.000000238418579,0,-1.1920928910669204e-08,-1.5795230856596731e-07,-1.6987323747663652e-07,lora,0.00017818510532363607
model.layers.9.mlp.up_proj.weight,0.9987296104431151,0.998749268054962,0.9918548464775084,0.999962329864502,0,9,up_proj,0.0012703895568848544,0.0012507319450379972,0.0025211215019228517,finetuned,1.0000000804662703,0.9999999970197676,0.9999997615814208,1.0000004768371582,0,-8.046627031355058e-08,2.9802323942007547e-09,-7.748603791934983e-08,lora,0.002521198987960771
