layer,avg_U_similarity,avg_V_similarity,min_U_similarity,max_U_similarity,spectral_intruder_count
model.layers.10.mlp.down_proj.weight,0.9999209225177765,0.9999051034450531,0.9996523857116699,0.9999989867210388,0
model.layers.11.self_attn.q_proj.weight,0.9994979292154312,0.9994992792606354,0.9966042041778564,0.9999980330467224,0
model.layers.11.self_attn.k_proj.weight,0.09964895844459534,0.09964930713176727,-0.9999268054962158,0.9999392628669739,9
model.layers.11.self_attn.v_proj.weight,0.9989998996257782,0.9989896237850189,0.9972686171531677,0.9998827576637268,0
model.layers.11.self_attn.o_proj.weight,0.9999004781246186,0.9998990505933761,0.9991201162338257,0.9999992251396179,0
model.layers.11.mlp.gate_proj.weight,0.9998989135026932,0.9999138116836548,0.9995856881141663,0.9999892115592957,0
model.layers.11.mlp.up_proj.weight,0.5984622478485108,0.5984770715236664,-0.9999586343765259,0.9998497366905212,4
model.layers.11.mlp.down_proj.weight,0.8998631715774537,0.8998507916927337,-0.9999933242797852,0.999998927116394,1
model.layers.12.self_attn.q_proj.weight,0.9999239891767502,0.999925720691681,0.9997312426567078,0.9999927282333374,0
model.layers.12.self_attn.k_proj.weight,0.9998163908720017,0.9998120993375779,0.9989691972732544,0.9999986290931702,0
model.layers.12.self_attn.v_proj.weight,0.9985391497612,0.9985228508710862,0.9938996434211731,0.9999470710754395,0
model.layers.12.self_attn.o_proj.weight,0.999513790011406,0.9995071947574615,0.9977984428405762,0.9999710321426392,0
model.layers.12.mlp.gate_proj.weight,0.9999380856752396,0.9999511510133743,0.9998047947883606,0.9999920129776001,0
model.layers.12.mlp.up_proj.weight,0.9997129917144776,0.9997342854738236,0.9991462826728821,0.9999629855155945,0
model.layers.12.mlp.down_proj.weight,0.8999080240726471,0.899896439909935,-0.9999843239784241,0.9999986290931702,1
model.layers.13.self_attn.q_proj.weight,0.9998976975679398,0.9998990565538406,0.9997507929801941,0.9999850988388062,0
model.layers.13.self_attn.k_proj.weight,0.9933476030826569,0.9933458060026169,0.9344481229782104,0.9999904632568359,0
model.layers.13.self_attn.v_proj.weight,0.8993348449468612,0.8993226975202561,-0.9990061521530151,0.9999090433120728,1
model.layers.13.self_attn.o_proj.weight,0.9998698085546494,0.9998637050390243,0.9994574189186096,0.9999939203262329,0
model.layers.13.mlp.gate_proj.weight,-0.09993870556354523,-0.09994127452373505,-0.999954104423523,0.9999910593032837,11
model.layers.13.mlp.up_proj.weight,0.9997331410646438,0.9997511595487595,0.999143123626709,0.9999759197235107,0
model.layers.13.mlp.down_proj.weight,0.9996558606624604,0.9996413856744766,0.9971987009048462,0.9999978542327881,0
model.layers.14.self_attn.q_proj.weight,0.8998507648706436,0.8998513013124466,-0.9998786449432373,0.9999961853027344,1
model.layers.14.self_attn.k_proj.weight,0.9992683500051498,0.9992612272500991,0.9936748743057251,0.9999982118606567,0
model.layers.14.self_attn.v_proj.weight,0.9983942747116089,0.9983886808156968,0.9947547912597656,0.9999210834503174,0
model.layers.14.self_attn.o_proj.weight,0.9964935600757598,0.9964898526668549,0.9658771753311157,0.9999879002571106,0
model.layers.14.mlp.gate_proj.weight,0.9998820126056671,0.9998969674110413,0.9994712471961975,0.9999902248382568,0
model.layers.14.mlp.up_proj.weight,0.9996309220790863,0.9996487885713577,0.9982900023460388,0.99997878074646,0
model.layers.14.mlp.down_proj.weight,0.8998178213834762,0.8998040735721589,-0.999955952167511,0.9999979734420776,1
model.layers.15.self_attn.q_proj.weight,0.999835878610611,0.9998381644487381,0.9990967512130737,0.9999947547912598,0
model.layers.15.self_attn.k_proj.weight,0.9997425734996795,0.999740132689476,0.9988731145858765,0.9999793767929077,0
model.layers.15.self_attn.v_proj.weight,0.1989514172077179,0.19895098209381104,-0.999893069267273,0.9999758005142212,8
model.layers.15.self_attn.o_proj.weight,0.9997677266597748,0.999765032529831,0.9979299902915955,0.9999988079071045,0
model.layers.15.mlp.gate_proj.weight,0.9996200650930405,0.9996339052915573,0.9985270500183105,0.9999926686286926,0
model.layers.15.mlp.up_proj.weight,0.9994895696640015,0.9995056301355362,0.997954249382019,0.9999736547470093,0
model.layers.15.mlp.down_proj.weight,0.9998646020889282,0.999852842092514,0.9993091821670532,0.9999955892562866,0
model.layers.16.self_attn.q_proj.weight,0.999835067987442,0.9998356997966766,0.999264121055603,0.9999972581863403,0
model.layers.16.self_attn.k_proj.weight,-0.3999772369861603,-0.3999739497900009,-0.9999923706054688,0.9999972581863403,14
model.layers.16.self_attn.v_proj.weight,0.9988315254449844,0.9988141149282456,0.9949679374694824,0.9999615550041199,0
model.layers.16.self_attn.o_proj.weight,0.8998239219188691,0.8998242557048798,-0.9996150732040405,0.9999798536300659,1
model.layers.16.mlp.gate_proj.weight,0.6997839003801346,0.6997920036315918,-0.9999867677688599,0.9999914765357971,3
model.layers.16.mlp.up_proj.weight,0.8995912700891495,0.8996043682098389,-0.999710202217102,0.9999866485595703,1
model.layers.16.mlp.down_proj.weight,0.9973373860120773,0.9973275005817414,0.9853396415710449,0.9999926686286926,0
model.layers.17.self_attn.q_proj.weight,0.9999274551868439,0.9999269843101501,0.9996703863143921,0.9999985694885254,0
model.layers.17.self_attn.k_proj.weight,0.999925509095192,0.999920842051506,0.999760091304779,0.9999986886978149,0
model.layers.17.self_attn.v_proj.weight,0.8997789323329926,0.8997684061527252,-0.9992325901985168,0.9999887943267822,1
model.layers.17.self_attn.o_proj.weight,-0.10004084706306457,-0.10004060864448547,-0.9999443292617798,0.9999850988388062,11
model.layers.17.mlp.gate_proj.weight,0.8997966021299362,0.8998072296380997,-0.9998759031295776,0.9999890327453613,1
model.layers.17.mlp.up_proj.weight,0.9992166429758071,0.9992314100265502,0.9963988661766052,0.9999785423278809,0
model.layers.17.mlp.down_proj.weight,0.49968038499355316,0.4996751606464386,-0.9999885559082031,0.9999951720237732,5
model.layers.18.self_attn.q_proj.weight,0.9998983860015869,0.9998989343643189,0.999681830406189,0.9999967813491821,0
model.layers.18.self_attn.k_proj.weight,0.09994402825832367,0.09994495213031769,-0.9999884366989136,0.9999943971633911,9
model.layers.18.self_attn.v_proj.weight,0.9985152214765549,0.9985067456960678,0.9895584583282471,0.9999855756759644,0
